Date,,,,Close
2022-9-30 00:00:00:030,,,,0.34061
2022-9-30 00:00:00:031,,,,0.34061
2022-9-30 00:00:00:032,,,,0.40175
2022-9-30 00:00:00:033,,,,0.19643
2022-9-30 00:00:00:034,,,,0.40351
2022-9-30 00:00:00:035,,,,0.22857
2022-9-30 00:00:00:036,,,,0.37391
2022-9-30 00:00:00:037,,,,0.37555
2022-9-30 00:00:00:038,,,,0.37229
2022-9-30 00:00:00:039,,,,0.37826
2022-9-30 00:00:00:040,,,,0.37555
2022-9-30 00:00:00:041,,,,0.37118
2022-9-30 00:00:00:042,,,,0.37118
2022-9-30 00:00:00:043,,,,0.15476
2022-9-30 00:00:00:044,,,,0.37281
2022-9-30 00:00:00:045,,,,0.22857
2022-9-30 00:00:00:046,,,,0.37391
2022-9-30 00:00:00:047,,,,0.41921
2022-9-30 00:00:00:048,,,,0.41558
2022-9-30 00:00:00:049,,,,0.4087
2022-9-30 00:00:00:050,,,,0.34061
2022-9-30 00:00:00:051,,,,0.34498
2022-9-30 00:00:00:052,,,,0.34061
2022-9-30 00:00:00:053,,,,0.19643
2022-9-30 00:00:00:054,,,,0.39035
2022-9-30 00:00:00:055,,,,0.18286
2022-9-30 00:00:00:056,,,,0.36087
2022-9-30 00:00:00:057,,,,0.36245
2022-9-30 00:00:00:058,,,,0.4026
2022-9-30 00:00:00:059,,,,0.34783
2022-9-30 00:00:00:060,,,,0.34498
2022-10-04 09:58:03:267,,,,0.34934
2022-10-04 14:12:14:342,,,,0.35371
2022-10-04 14:14:11:562,,,,0.1369
2022-10-04 14:19:13:974,,,,0.41228
2022-10-04 20:35:47:219,,,,0.24
2022-10-04 20:36:31:029,,,,0.40435
2022-10-04 20:37:32:249,,,,0.39301
2022-10-04 20:39:48:146,,,,0.39394
2022-10-04 20:40:31:037,,,,0.40435
2022-10-04 20:41:02:553,,,,0.40611
2022-10-04 20:41:14:786,,,,0.40611
2022-10-04 20:41:20:915,,,,0.41048
2022-10-04 20:42:28:317,,,,0.20238
2022-10-04 20:43:30:604,,,,0.40351
2022-10-04 20:43:36:870,,,,0.21143
2022-10-04 20:44:13:789,,,,0.3913
2022-10-04 20:45:21:280,,,,0.40611
2022-10-04 20:46:05:267,,,,0.39827
2022-10-04 20:46:48:141,,,,0.39565
